outer_code,rs,pval,npts
DL13,0.8141908054591479,6.3897094688201945e-24,96
SR2,0.8510346793950966,4.853502256123656e-28,96
LA18,0.35756244042516266,0.000780700159414304,85
HR5,0.9145694223087875,9.892222006350772e-39,96
DE21,0.945885177953188,9.822538506173912e-48,96
AL7,0.6401174740366214,2.189507625103389e-12,96
N10,0.851845572283195,3.829815541473405e-28,96
EC1A,0.7508352411464202,1.2666051095998588e-18,96
TN12,0.901314450902931,6.364422150321056e-36,96
FY3,0.9147438246070112,9.023188025576826e-39,96
L13,0.9685597724297955,1.3633526570922555e-58,96
CA22,0.5834647460041378,4.4163595984573023e-10,96
DE72,0.8577542805314652,6.524381588001068e-29,96
SG1,0.7763055712722654,1.5218708664845647e-20,96
SE20,0.7734157219111328,2.5865133476408915e-20,96
SE19,0.6077487106982349,5.162530949222541e-11,96
PL1,0.9393232365598158,1.8298577704695438e-45,96
EX35,0.7340280747195167,1.7686309963966103e-17,96
TN20,0.8616049780027226,1.97120840273395e-29,96
HP17,0.8876143556697206,2.070714118330124e-33,96
RG25,0.9448467029604346,6.7778579177336695e-46,93
RG21,0.9111824035202198,5.680020414978458e-38,96
M41,0.9692550817849209,4.842078829956635e-59,96
HU15,0.5109217253313285,1.044791367209582e-07,96
AL6,0.0756012115356928,0.4641179729843873,96
LE1,0.7464481625333855,2.571294137194723e-18,96
E20,-0.7818241738327745,1.8452233892850017e-12,55
UB6,0.7231623864411163,8.76721222721749e-17,96
TW13,-0.2520356915703636,0.013241160280424873,96
GL18,0.8677497077305729,2.7038009902890377e-30,96
TN15,0.9393164540018404,1.8392067561892332e-45,96
HP11,0.9206435338041923,3.561942914210111e-40,96
M5,0.8773382710827679,9.89775489267499e-32,96
LS15,0.7729433867743354,2.8186415423538746e-20,96
BD19,0.8855088688240663,4.712065888094782e-33,96
B93,0.9645365547057051,3.56856118933849e-56,96
WD25,0.5794246738279225,6.205717183417646e-10,96
HA0,-0.7108251915573192,4.935605135112574e-16,96
SW16,0.821694911038584,1.1076719932173445e-24,96
BS39,0.9086894903352847,1.967388506536994e-37,96
GL51,0.7127225925870997,1.60588279967545e-15,92
ME2,0.3063179787991501,0.00240301305417303,96
BN2,0.9482533513800844,1.2664585127699802e-48,96
BN10,0.9629504028514465,2.6904534129522626e-55,96
M12,-0.27349992661950007,0.00701248144897224,96
S63,0.8237364817602908,6.779025807724242e-25,96
B6,0.8015084932305523,1.038979414379217e-22,96
B21,0.6914984545423598,6.215607842766925e-15,96
CB10,0.7723064405702753,3.1639607873641254e-20,96
SS9,0.9629438715623636,2.71242928531155e-55,96
E18,0.6722579077392031,6.406579603482453e-14,96
TA2,0.8126825013591451,9.001365120829866e-24,96
TN17,0.909047747259002,1.6493419411283318e-37,96
SO21,0.9191005922248352,8.492886629137202e-40,96
PR8,0.9793609560789293,4.468593636613626e-67,96
B73,0.4833242229236622,1.0604413813357869e-06,92
CB23,0.872110177398872,6.210179888028166e-31,96
EC1V,0.7073405019429584,7.911777110957619e-16,96
W6,0.7494599199196877,1.5838964555259027e-18,96
SP11,0.6725614563603092,6.183433471413322e-14,96
BS22,0.9060985579394678,6.894340640221563e-37,96
PL7,0.3531430588130568,0.00041684736530766647,96
OX10,0.9538207976968043,6.83708659562871e-51,96
HP20,0.8853219571458739,5.0649262488484405e-33,96
TS12,0.9277982019973242,4.9623740731825806e-42,96
CA4,0.7432134241294535,4.294269772908413e-18,96
S65,0.7796633161774857,8.13581427185577e-21,96
LS26,0.6678649435105787,1.0652081350907443e-13,96
ST20,0.7398865911586765,7.219790186282392e-18,96
DY10,0.9083990952629833,2.2684673532180166e-37,96
B61,0.9265798059071363,1.0590465628705966e-41,96
IP6,0.928046014299274,4.2464070324991615e-42,96
N22,0.3708951558900101,0.00019921264304421926,96
IG1,0.1504188287228472,0.14351434915587244,96
KT7,0.8830569846385935,1.2032009617953292e-32,96
OX9,0.7804509211093978,7.013173833881522e-21,96
SN15,0.9591014529023062,2.563948587569003e-53,96
BH19,0.8986010558826708,2.135689777556563e-35,96
M24,0.9215096464426281,2.170138787808093e-40,96
NE70,0.9193975597929632,7.194666103064492e-40,96
SG8,0.9420294771919677,2.2821657234834134e-46,96
CM1,0.8965802575466442,5.146887743266725e-35,96
NN15,0.96062073558398,4.4809224908070814e-54,96
MK43,0.736284124108826,1.2560753982208266e-17,96
SG18,0.9242821994268083,4.271551604844132e-41,96
SW9,0.46684143257261596,1.6305972392565895e-06,96
SN10,0.8844069445567813,7.199802550710675e-33,96
OX33,0.9409095419180442,5.4658000691044694e-46,96
TS4,0.9501011444213541,7.711501760519086e-49,95
SK15,0.9742092361150182,1.4048294289961109e-62,96
S8,0.702075420510038,1.5933109765005798e-15,96
WR11,0.7278751460938652,4.420004523579552e-17,96
CM20,0.9622442515063614,6.429446622991949e-55,96
N13,0.3544229963459648,0.0003957981295158429,96
HA3,0.9528276293284303,1.8166646398416252e-50,96
NW8,0.7397512084253244,7.372824867709155e-18,96
W2,0.924486134969334,3.7809821156738656e-41,96
SE15,0.32548817467755303,0.0012124385379263818,96
E4,0.9437358627983938,5.829827540838137e-47,96
TN40,0.9182694124537344,1.3466113583049902e-39,96
MK5,-0.4659102281564944,1.7210776263155698e-06,96
TR13,0.9267824519598472,9.344432537264555e-42,96
TQ5,0.9749996609641062,3.3119929513884396e-63,96
WA16,0.8949744129565916,1.0221660238928587e-34,96
LA3,-0.3136500724181363,0.010952331407900643,65
WF16,0.5025638594988759,1.8127148981123052e-07,96
WF1,0.9694312186352931,3.711121212718284e-59,96
B1,-0.3480514244671321,0.0005111701911952699,96
CM4,0.8562136285017964,1.042927127478296e-28,96
WS15,0.973452888391033,5.37187927794376e-62,96
E17,0.9083818283775025,2.287721709890865e-37,96
KT2,0.79996608744014,1.4385780270394716e-22,96
PO22,0.9585582900513591,4.7074938952848945e-53,96
BL1,0.965067027498182,1.7788430178716736e-56,96
DN33,0.09685537194513633,0.34785232857047566,96
CV12,0.9667829855691293,1.7341124111022993e-57,96
IP14,0.9300618907653281,1.1705955290242009e-42,96
HA4,0.9519455769518832,4.2519911283954925e-50,96
BS13,0.9409610241635593,5.2526745083648e-46,96
PL26,0.9462914046378431,6.95821206195605e-48,96
TQ9,0.9115228230395908,4.780160138301385e-38,96
CT16,0.9632857650252903,1.7683217532205517e-55,96
TN13,0.9676577013967419,5.0472258800550095e-58,96
RG5,0.8709465193057384,9.244056763899284e-31,96
WA11,0.9624444676067354,5.0308026123427834e-55,96
S14,0.9102445847710189,9.102584125391154e-38,96
WR9,0.9630348086780371,2.421647616691796e-55,96
B16,0.9109247360516785,6.469166295215672e-38,96
NN2,0.9792660015553614,5.53256712761802e-67,96
SG13,0.7087883815093932,6.508624450145036e-16,96
LN4,0.9367055983715625,1.2535648501083884e-44,96
PO33,0.9585585709778187,4.706024674457005e-53,96
GU30,0.8482092292969341,1.0959904866129011e-27,96
DL5,0.6614237317589452,2.2107459736526205e-13,96
SK14,0.9812700298146567,4.873645611137545e-69,96
BB11,0.5684277639771317,1.5306448635125087e-09,96
BD14,0.0484310775046063,0.6393664532945998,96
HD5,0.8388792428275204,1.4413122751560878e-26,96
CV6,0.976841348490928,9.470638202121844e-65,96
PE13,0.9108068788474499,6.864890480657786e-38,96
CO11,0.785986606172645,2.4268884879506786e-21,96
PE22,0.701308744548085,1.762056415470636e-15,96
N2,0.8694062644168253,1.5558682636645903e-30,96
WC1N,0.7904590099036367,1.006084054379235e-21,96
TN3,-0.3378987122983924,0.0007600314212661534,96
PO10,0.9401874044213675,9.5131042358572e-46,96
KT20,0.8843422530266035,7.380249448779417e-33,96
HP15,0.26209899442185774,0.009889767626651034,96
L35,0.9755727004369831,1.1283678312845425e-63,96
L27,0.9456683971961897,1.1793756393442172e-47,96
SE7,0.8607754636011598,2.558713083243889e-29,96
SL7,0.7328628454498997,2.1077062787285057e-17,96
OL12,0.9275174572182169,5.916422200864486e-42,96
LA14,0.9430065519933254,1.0500429873017187e-46,96
NE7,0.9451897776071433,1.7614501625457933e-47,96
NR33,0.9585488187095911,4.757291510958582e-53,96
CB8,0.8852006474749321,5.307603351525963e-33,96
SY12,0.6822106625296344,1.9596388139474978e-14,96
GL16,0.9538402068503491,6.706320398994929e-51,96
TA5,0.9260654737866859,1.4527583531387584e-41,96
OX20,0.6749531997288818,4.669593777109919e-14,96
PO8,0.8976158990477341,3.286740336889575e-35,96
SO41,0.2897528420177042,0.004189945699140278,96
LA6,0.9551754914509324,1.7404624859759346e-51,96
M16,0.9507211581901096,1.3486690599376093e-49,96
M19,0.9234024957333055,7.201735585247743e-41,96
HU9,0.9321414280018253,2.9737866929116844e-43,96
WR7,0.23478445590019384,0.0213036243045914,96
