bnf_sec,imd_cat,prescribe_col,corr
Central Nervous System,environment,quantity,-0.001448650251946201
Central Nervous System,environment,act_cost,-0.009900522257992105
Central Nervous System,environment,net_ingredient_cost,-0.009946990089600687
Central Nervous System,living,items,0.1076544012361735
Central Nervous System,living,quantity,0.0649924468900236
Central Nervous System,living,act_cost,0.10035833473678299
Central Nervous System,living,net_ingredient_cost,0.10037140967689216
Infections,crime,items,-0.2478117690529859
Infections,crime,quantity,-0.22583360082981968
Infections,crime,act_cost,-0.1754272068604615
Infections,crime,net_ingredient_cost,-0.17521356337461558
Infections,education,items,-0.10422297783079532
Infections,education,quantity,-0.11022486263984693
Infections,education,act_cost,-0.09618475991660817
Infections,education,net_ingredient_cost,-0.09612792592810755
Infections,housing,items,0.09307594634253553
Infections,housing,quantity,0.07789004347384093
Infections,housing,act_cost,0.0719359916168973
Infections,housing,net_ingredient_cost,0.07217149440990167
Infections,income,items,-0.15710690193636895
Infections,income,quantity,-0.15413282967566333
Infections,income,act_cost,-0.11876903509126328
Infections,income,net_ingredient_cost,-0.11862226388324038
Infections,health,items,-0.12696260352827624
Infections,health,quantity,-0.1332691131442249
Infections,health,act_cost,-0.10060576915584583
Infections,health,net_ingredient_cost,-0.10055658888724371
Infections,IMD,items,-0.11814750995268639
Infections,IMD,quantity,-0.12340663868885345
Infections,IMD,act_cost,-0.09416824619202657
Infections,IMD,net_ingredient_cost,-0.0940343262549465
Infections,children,items,-0.15548986019595384
Infections,children,quantity,-0.1546186374173567
Infections,children,act_cost,-0.11668808187280647
Infections,children,net_ingredient_cost,-0.11655184950959671
Infections,employment,items,-0.1233618992235955
Infections,employment,quantity,-0.12973473223256957
Infections,employment,act_cost,-0.1036098516932866
Infections,employment,net_ingredient_cost,-0.10355283146949214
Infections,environment,items,-0.025524778021809955
Infections,environment,quantity,-0.03446580272393085
Infections,environment,act_cost,-0.005704434861176298
Infections,environment,net_ingredient_cost,-0.005479061130627019
Infections,living,items,0.07388129031787216
Infections,living,quantity,0.05297575397087382
Infections,living,act_cost,0.06947981117943118
Infections,living,net_ingredient_cost,0.06965177372686364
Endocrine System,crime,items,-0.3342015303400192
Endocrine System,crime,quantity,-0.2892657213394354
Endocrine System,crime,act_cost,-0.24938790316935747
Endocrine System,crime,net_ingredient_cost,-0.2492034490101849
Endocrine System,education,items,-0.10884760578288585
Endocrine System,education,quantity,-0.11886324268824648
Endocrine System,education,act_cost,-0.10875952813611303
Endocrine System,education,net_ingredient_cost,-0.10875003753235377
Endocrine System,housing,items,0.1288738275747222
Endocrine System,housing,quantity,0.10359898565222697
Endocrine System,housing,act_cost,0.09971561883963248
Endocrine System,housing,net_ingredient_cost,0.09981242485997013
Endocrine System,income,items,-0.18399653726591647
Endocrine System,income,quantity,-0.1732319900920915
Endocrine System,income,act_cost,-0.156248575813167
Endocrine System,income,net_ingredient_cost,-0.15619975084365464
Endocrine System,health,items,-0.13893569643042672
Endocrine System,health,quantity,-0.15119886926341006
Endocrine System,health,act_cost,-0.13655305296740036
Endocrine System,health,net_ingredient_cost,-0.13656379604205815
Endocrine System,IMD,items,-0.13214977410880177
Endocrine System,IMD,quantity,-0.13923405893315327
Endocrine System,IMD,act_cost,-0.12272248363817244
Endocrine System,IMD,net_ingredient_cost,-0.12268505720348268
Endocrine System,children,items,-0.18377995830054514
Endocrine System,children,quantity,-0.17408002064734923
Endocrine System,children,act_cost,-0.15754055656443317
Endocrine System,children,net_ingredient_cost,-0.15750355455500084
Endocrine System,employment,items,-0.13139173495338552
Endocrine System,employment,quantity,-0.1423009902440301
Endocrine System,employment,act_cost,-0.12957773065577208
Endocrine System,employment,net_ingredient_cost,-0.12960230010060397
Endocrine System,environment,items,-0.02906350847045484
Endocrine System,environment,quantity,-0.02639296044519727
Endocrine System,environment,act_cost,-0.01354878694590614
Endocrine System,environment,net_ingredient_cost,-0.013441154360307258
Endocrine System,living,items,0.09573892956128377
Endocrine System,living,quantity,0.07837912727011058
Endocrine System,living,act_cost,0.08507556441383328
Endocrine System,living,net_ingredient_cost,0.08516157171296056
